// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde
// command took 1,7s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde
// command took 2,9s and exited with 0
// ***** Done, took 00:00:04 (4.78 sec)   *****
// Found 2 benchmarks:
//   BenchMarkExecutorDatabase.GetCountryEnumerable: DefaultJob
//   BenchMarkExecutorDatabase.GetCountryQueryable: DefaultJob

// **************************
// Benchmark: BenchMarkExecutorDatabase.GetCountryEnumerable: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1c3c2a05-3807-4016-82df-d80eb4d1fbde.dll" --benchmarkName "DALMentoring.Database.BenchMarkExecutorDatabase.GetCountryEnumerable" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual  62: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadActual  63: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadActual  64: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadActual  65: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  66: 1 op, 49300.00 ns, 49.3000 us/op
WorkloadActual  67: 1 op, 35500.00 ns, 35.5000 us/op
WorkloadActual  68: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadActual  69: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  70: 1 op, 24600.00 ns, 24.6000 us/op
WorkloadActual  71: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadActual  72: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual  73: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadActual  74: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadActual  75: 1 op, 25600.00 ns, 25.6000 us/op
WorkloadActual  76: 1 op, 84100.00 ns, 84.1000 us/op
WorkloadActual  77: 1 op, 50000.00 ns, 50.0000 us/op
WorkloadActual  78: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadActual  79: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadActual  80: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadActual  81: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadActual  82: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  83: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadActual  84: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadActual  85: 1 op, 76500.00 ns, 76.5000 us/op
WorkloadActual  86: 1 op, 47800.00 ns, 47.8000 us/op
WorkloadActual  87: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadActual  88: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  89: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadActual  90: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  91: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadActual  92: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadActual  93: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual  94: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadActual  95: 1 op, 86000.00 ns, 86.0000 us/op
